Number_of_Pitches,Number_of_Pitch_Classes,Number_of_Common_Pitches,Number_of_Common_Pitch_Classes,Range,Mean_Pitch,Repeated_Notes,Chromatic_Motion,Stepwise_Motion,Average_Number_of_Simultaneous_Pitch_Classes,Average_Number_of_Simultaneous_Pitches,Vertical_Minor_Seconds,Vertical_Thirds,Vertical_Tritones,Vertical_Perfect_Fourths,Vertical_Perfect_Fifths,Vertical_Sixths,Vertical_Sevenths,Vertical_Octaves,Vertical_Minor_Third_Prevalence,Vertical_Major_Third_Prevalence,Chord_Duration,Initial_Tempo,Mean_Tempo,Tempo_Variability,Duration_in_Seconds,Note_Density,Note_Density_Variability,Average_Time_Between_Attacks,Average_Variability_of_Time_Between_Attacks_for_Each_Voice,Minimum_Note_Duration,Maximum_Note_Duration,Average_Note_Duration,Amount_of_Staccato,Unpitched_Percussion_Instrument_Prevalence,Acoustic_Guitar_Prevalence,Electric_Guitar_Prevalence,Violin_Prevalence,Dynamic_Range,Average_Note_to_Note_Change_in_Dynamics
2,1,2,1,12,69,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1.832,97,91.16,10.5,6.361,2.515,1.323,0.6756,0.4633,0.1534,0.1883,0.1597,0,0,0,0,0,0,0
18,9,4,2,35,63,0.03704,0,0.07407,1.949,1.949,0,0.4106,0.1066,0.04016,0.1623,0.1876,0.04666,0,0.2567,0.1937,0.2032,97,97.47,2.602,28.34,2.823,1.123,0.4974,0.5286,0.06853,0.3698,0.2154,0.025,0,0,0,0,2,0.05
19,10,3,1,28,67,0.04878,0.09756,0.3415,1.622,1.873,0,0.3453,0.09418,0,0,0.09418,0.139,0.2332,0.1351,0.2364,0.2219,100,100,1.01E-11,14.7,4.353,1.858,0.3177,0.3737,0.07375,0.2987,0.1723,0.2812,0,0,0,0,24,0.7188
26,12,1,0,32,68,0,0.1,0.225,1.601,1.641,0,0.2947,0,0.08301,0.08301,0.4772,0,0.06212,0.1025,0.08627,0.3308,100,101.2,1.839,13.03,5.066,0.1388,0.3184,0.0946,0.0716,0.2837,0.1836,0.04545,0,0,0,0,12,0.7273
28,10,3,1,41,68,0.01754,0.1404,0.3684,1.472,1.472,0,0.4719,0.07819,0.07819,0.06282,0.1679,0.0513,0,0.1686,0.1071,0.2849,108,101.5,4.514,22.79,3.554,2.205,0.3942,0.6356,0,0.6173,0.1736,0.2222,0,0,0,0,63,3.407
16,9,5,2,27,60,0.03226,0,0.03226,1.526,1.526,0,0.3311,0,0.0783,0.2349,0.3557,0,0,0.1076,0.06644,0.4682,88,99.47,2.118,11.97,4.512,1.291,0.3381,0.2155,0.0975,0.2837,0.169,0.3704,0,0,0,0,0,0
8,5,8,3,27,60,0,0,0,1.645,1.645,0,0.2385,0.07884,0.2385,0.07086,0.2784,0.09481,0,0.202,0,0.1867,100,99,1.414,5.457,1.833,1.62,0.602,0.7214,0.1387,0.308,0.246,0,0,0,0,0,0,0
20,12,2,0,28,64,0,0.5263,0.6053,1.571,1.834,0,0.3601,0.12,0,0,0.2799,0,0.24,0.1317,0.2635,0.2577,97,91.31,6.337,11.23,5.256,0.6332,0.2851,0.1637,0.07375,0.3456,0.2254,0.3051,0,0,0,0,12,1.017
14,7,4,2,26,74,0,0.06667,0.1333,1.511,1.511,0,0.25,0,0,0,0.75,0,0,0.09591,0.03179,0.246,90,91.52,1.803,3.77,7.428,0,0.2397,0.08874,0.07722,0.317,0.1368,0.5714,0,0,0,0,0,0
18,8,2,1,29,76,0,0.1538,0.3077,1.504,1.569,0,0.699,0,0,0.09874,0.09874,0,0.1035,0.2091,0.2325,0.2031,91,86.73,7.707,9.1,3.626,0.03617,0.3318,0.295,0.08994,0.346,0.244,0.06061,0,0,0,0,0,0
18,9,3,1,36,66,0,0,0,2.252,2.33,0,0.5327,0.1232,0.07766,0.03489,0.1892,0,0.04237,0.5369,0.2781,0.2838,82,81.18,7.601,20.5,1.853,1.389,0.8107,1.085,0.1635,0.4148,0.274,0,0,0,0,0,16,0.8421
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,78.25,27.85,5.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,8,2,1,24,73,0.1481,0.1852,0.4444,1.448,1.448,0,0.8449,0.0517,0,0,0.1034,0,0,0.2596,0.1396,0.3731,76,75.62,2.145,10.92,3.572,2.099,0.3966,0.1069,0,0.8554,0.3007,0.05128,0,0,0,0,63,3.256
18,9,2,2,31,69,0.04348,0.08696,0.2174,1.432,1.432,0,0.3647,0.09098,0,0.09098,0.4534,0,0,0.1574,0,0.2512,82,82.3,5.093,7.144,5.039,0.7531,0.2985,0.09491,0.08676,0.3592,0.1839,0.2778,0,0,0,0,0,0
30,11,1,1,55,57,0,0,0,1.995,2.415,0.01119,0.3646,0.06503,0.07186,0.09127,0.154,0.01583,0.2121,0.3489,0.2318,0.4734,58,70.59,8.781,17.36,4.436,1.269,0.455,0.2048,0.346,0.9754,0.4329,0,0,0,0,0,42,2.234
6,5,6,1,20,63,0,0,0,1.644,1.644,0,0.3027,0.06782,0.3027,0,0.3027,0.02407,0,0.2948,0,0.3999,67,102.4,12.13,4.476,1.34,0,0.8376,1.032,0.1256,0.4235,0.322,0,0,0,0,0,41,6.833
