Number_of_Pitches,Number_of_Pitch_Classes,Number_of_Common_Pitches,Number_of_Common_Pitch_Classes,Range,Mean_Pitch,Repeated_Notes,Chromatic_Motion,Stepwise_Motion,Average_Number_of_Simultaneous_Pitch_Classes,Average_Number_of_Simultaneous_Pitches,Vertical_Minor_Seconds,Vertical_Thirds,Vertical_Tritones,Vertical_Perfect_Fourths,Vertical_Perfect_Fifths,Vertical_Sixths,Vertical_Sevenths,Vertical_Octaves,Vertical_Minor_Third_Prevalence,Vertical_Major_Third_Prevalence,Chord_Duration,Initial_Tempo,Mean_Tempo,Tempo_Variability,Duration_in_Seconds,Note_Density,Note_Density_Variability,Average_Time_Between_Attacks,Average_Variability_of_Time_Between_Attacks_for_Each_Voice,Minimum_Note_Duration,Maximum_Note_Duration,Average_Note_Duration,Amount_of_Staccato,Unpitched_Percussion_Instrument_Prevalence,Acoustic_Guitar_Prevalence,Electric_Guitar_Prevalence,Violin_Prevalence,Dynamic_Range,Average_Note_to_Note_Change_in_Dynamics
2,1,2,1,12,93,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,2.29,97,91.16,10.5,6.361,3.144,0.2436,0.5165,0.313,0.1534,0.2324,0.1723,0,0,0,0,0,0,0
20,8,3,1,55,82,0.02885,0.009615,0.05769,1.059,1.104,0.03219,0.116,0,0.09822,0.131,0,0,0.4256,0.001877,0.01038,0.209,97,97.63,2.592,30.21,9.565,3.791,0.1443,0.02934,0,0.2925,0.08346,0.7301,0,0,0,0,12,0.2491
26,12,2,0,33,78,0,0.2432,0.4144,1.134,1.174,0,0.6296,0,0,0,0.1852,0,0.1852,0.1186,0.01581,0.1403,100,100,1.32E-11,14.92,8.979,0.9984,0.1332,0.06814,0,0.2837,0.08173,0.9552,0,0,0,0,12,2.507
27,11,1,1,39,87,0.01235,0,0.01235,1.22,1.253,0,0.09969,0.03323,0.1661,0.2658,0.1693,0.1329,0.1329,0.01689,0.008445,0.1764,100,101.2,1.814,12.97,9.096,0.4147,0.1587,0.05658,0,0.2837,0.09167,0.7966,0,0,0,0,12,3.458
19,10,3,1,43,86,0,0,0,1.025,1.038,0,0.1667,0,0,0.3333,0.1667,0,0.3333,0,0.006314,0.5718,108,101.4,4.413,24,6.5,1.395,0.1662,0.08722,0,0.2837,0.07727,0.9167,0,0,0,0,14,0.359
21,7,2,1,36,81,0.3613,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.4903,88,99.47,2.112,12.03,9.971,0.1657,0.09995,0.002365,0.065,0.1065,0.06565,0.9917,0,0,0,0,0,0
19,12,2,1,24,86,0.3585,0.03774,0.07547,1,1,0,0,0,0,0,0,0,0,0,0,0.1745,100,99,1.414,5.456,9.898,7.072,0.1004,0.001448,0.065,0.06701,0.06567,1,0,0,0,0,0,0
28,12,1,1,38,81,0.2222,0.1212,0.1818,1.392,1.575,0.08073,0.1519,0.04215,0.2008,0.1334,0.0855,0,0.2634,0.05269,0.05269,0.1525,97,91.31,6.337,11.23,13.09,1.944,0.1114,0.04372,0,0.3853,0.08948,0.6531,0,0,0,0,12,0.4286
14,11,4,1,16,93,0,0.1702,0.5106,1.93,1.93,0,0.1505,0.1436,0.1889,0.1471,0.2907,0.07911,0,0.06,0.08,0.06105,90,91.5,1.769,3.93,17.3,0,0.0813,0.001578,0.0733,0.317,0.1086,0.7059,0,0,0,0,0,0
12,8,3,2,24,91,0.02041,0.3367,0.7347,1.504,1.549,0,0.06435,0.06435,0.2049,0.2686,0.2043,0.06997,0.08575,0.01781,0.01781,0.08068,91,86.73,7.707,9.1,12.97,0.336,0.0875,0.04064,0,0.3643,0.1088,0.8475,0,0,0,0,15,1
