Number_of_Pitches,Number_of_Pitch_Classes,Number_of_Common_Pitches,Number_of_Common_Pitch_Classes,Range,Mean_Pitch,Repeated_Notes,Chromatic_Motion,Stepwise_Motion,Average_Number_of_Simultaneous_Pitch_Classes,Average_Number_of_Simultaneous_Pitches,Vertical_Minor_Seconds,Vertical_Thirds,Vertical_Tritones,Vertical_Perfect_Fourths,Vertical_Perfect_Fifths,Vertical_Sixths,Vertical_Sevenths,Vertical_Octaves,Vertical_Minor_Third_Prevalence,Vertical_Major_Third_Prevalence,Chord_Duration,Initial_Tempo,Mean_Tempo,Tempo_Variability,Duration_in_Seconds,Note_Density,Note_Density_Variability,Average_Time_Between_Attacks,Average_Variability_of_Time_Between_Attacks_for_Each_Voice,Minimum_Note_Duration,Maximum_Note_Duration,Average_Note_Duration,Amount_of_Staccato,Unpitched_Percussion_Instrument_Prevalence,Acoustic_Guitar_Prevalence,Electric_Guitar_Prevalence,Violin_Prevalence,Dynamic_Range,Average_Note_to_Note_Change_in_Dynamics
6,5,4,2,15,63,0,0,0.4533,1.735,1.89,0.08884,0.08772,0.2279,0,0.2709,0.04386,0,0.1405,0.1162,0,0.101,65,65,1.27E-11,11.07,10.11,6.382,0.145,0.2072,0.1058,2.767,0.1843,0,0,0,0,0,12,0.3214
8,7,4,3,12,59,0,0,0.1667,2.179,2.179,0,0.1275,0.07388,0.213,0.1787,0.04792,0.02196,0,0.02003,0.1889,0.5333,65,65,1.27E-11,11.08,1.715,1.821,0.9221,0.6145,0,3.506,1.244,0.1053,0,0,0,0,0,0
5,5,4,2,10,61,0,0.3333,0.6667,1.466,1.466,0,0,0,0.06411,0.8745,0.04338,0.01804,0,0,0,0.7756,65,65,1.27E-11,11.01,1.09,0.5304,1.076,0.8479,0.2173,2.629,1.313,0,0,0,0,0,0,0
20,10,4,1,25,69,0,0.06383,0.2766,1.125,1.312,0,0.04762,0,0.2381,0.2381,0.04762,0,0.4286,0.02083,0,0.2344,65,65,1.27E-11,11.06,5.694,0.8503,0.2298,1.96E-16,0.2173,0.2173,0.2173,0,0,0,0,0,0,0
8,6,4,2,14,78,0,0.5833,0.9271,1.411,1.874,0,0.05491,0.02904,0.2505,0.2505,0.05491,0,0.3601,0,0.07054,0.07955,65,65,1.27E-11,11.07,9.218,0.2002,0.1132,0.01168,0.1019,2.629,0.1913,0,0,0,0,0,0,0
11,7,4,2,17,61,0,0,0,1.977,2.827,0,0.2532,0,0.08477,0.1126,0.2419,0,0.3075,0.369,0.3626,0.642,65,65,1.27E-11,11.06,2.531,2.434,0.6769,0.7559,0.2173,2.629,1.079,0,0,0,0,0,23,0.8214
17,8,6,1,25,65,0.05333,0.04,0.16,2.409,2.786,0.0657,0.26,0.07761,0.08242,0.1228,0.1051,0.06391,0.1159,0.3658,0.2562,0.1862,65,65,1.73E-11,22.14,6.323,2.949,0.2913,0.3019,0,2.19,0.4298,0.007143,0,0,0,0,11,0.07857
7,5,4,2,20,62,0,0,0.4795,1.765,2.096,0.02681,0.3016,0.08704,0.05848,0.2811,0.05848,0.02681,0.1329,0.2243,0.2243,0.1705,65,65,1.46E-11,13.71,8.245,5.11,0.1508,0.2193,0.1058,2.629,0.2174,0,0,0,0,0,25,0.2212
17,10,4,1,22,68,0,0,0,3.421,4.126,0,0.3722,0.1016,0.06439,0.1097,0.1595,0.06477,0.1084,1,0.8402,1.184,65,65,1.27E-11,11.03,4.08,2.295,1.014,0.4767,0.4365,1.844,1.003,0,0,0,0,0,0,0
13,8,5,3,20,72,0,0,0,2.358,3.368,0.009101,0.227,0.09021,0.1312,0.09772,0.1531,0.01772,0.2289,0.3215,0.524,0.4027,65,65,1.27E-11,11.05,4.343,1.608,0.5888,0.2652,0.4365,1.752,0.7583,0,0,0,0,0,8,0.1667
15,8,4,2,24,74,0,0.2182,0.4727,1.647,2.116,0,0.296,0,0.1072,0.06381,0.2453,0.02165,0.2443,0.3478,0.2147,0.2046,65,65,1.27E-11,11.05,6.334,0.6444,0.192,0.2166,0.1077,0.9635,0.3041,0,0,0,0,0,12,0.5143
9,8,4,2,12,88,0,0.4624,0.8817,1,1,0,0,0,0,0,0,0,0,0,0,0.1182,65,65,1.27E-11,11.07,8.492,0.4774,0.1169,0.01683,0.1077,0.2173,0.11,0,0,0,0,0,0,0
12,7,7,2,18,78,0,0,0,3.1,4.1,0,0.3437,0.1719,0.05468,0.03906,0.2344,0,0.1563,1,0.35,1.185,65,65,1.27E-11,11.01,2.998,0.5249,1.318,0.4934,0.875,1.313,1.088,0,0,0,0,0,0,0
13,9,5,2,16,78,0,0.1,0.2,2.395,3.138,0,0.3415,0.09689,0.111,0.07371,0.207,0,0.1699,0.6609,0.4911,0.4084,65,65,3.10E-12,5.513,5.441,4.102,0.5067,0.146,0.4365,0.875,0.5535,0,0,0,0,0,11,0.3667
21,7,1,0,34,75,0,0,0.07353,1.647,2.058,0,0.2237,0.1078,0.1233,0.1233,0.1065,0.04217,0.231,0.2284,0.1164,0.1743,65,65,1.27E-11,11.07,8.307,0.215,0.1551,0.1219,0,0.875,0.2136,0.1413,0,0,0,0,50,0.8152
9,7,5,2,13,84,0,0,0,2.099,3.092,0,0.1671,0.1624,0.133,0.133,0.1134,0,0.2909,0.215,0.3312,0.7145,65,65,9.44E-12,8.237,2.914,0.5798,0.988,0.6209,0.4365,1.752,1.021,0,0,0,0,0,13,0.7917
13,6,4,2,25,76,0,0,0,1.056,2.056,0,0,0,0.05,0.05,0,0,0.9,0,0,0.1553,65,65,4.28E-12,2.76,13.41,0,0.1529,5.72E-17,0.1442,0.1442,0.1442,0,0,0,0,0,0,0
24,7,3,2,43,76,0.01695,0.08475,0.1356,1.652,2.178,0.01528,0.07442,0,0.2068,0.1446,0.1084,0.103,0.3104,0.02062,0.1031,0.3878,65,65,2.57E-11,24.85,3.823,0.5789,0.3985,0.2265,0,1.313,0.4854,0.01053,0,0,0,0,63,0.6632
