Number_of_Pitches,Number_of_Pitch_Classes,Number_of_Common_Pitches,Number_of_Common_Pitch_Classes,Range,Repeated_Notes,Chromatic_Motion,Stepwise_Motion,Average_Number_of_Simultaneous_Pitch_Classes,Average_Number_of_Simultaneous_Pitches,Vertical_Minor_Third_Prevalence,Vertical_Major_Third_Prevalence,Chord_Duration,Initial_Tempo,Mean_Tempo,Tempo_Variability,Duration_in_Seconds,Note_Density,Note_Density_Variability,Average_Time_Between_Attacks,Average_Variability_of_Time_Between_Attacks_for_Each_Voice,Minimum_Note_Duration,Maximum_Note_Duration,Average_Note_Duration,Amount_of_Staccato,Unpitched_Percussion_Instrument_Prevalence,Acoustic_Guitar_Prevalence,Electric_Guitar_Prevalence,Violin_Prevalence,Dynamic_Range,Average_Note_to_Note_Change_in_Dynamics
8,5,4,2,51,0.04938,0,0.4198,1.927,2.203,0.3083,0,0.09141,65,65,1.27E-11,11.07,11.02,5.776,0.1359,0.1087,0.1058,2.767,0.1973,0,0,0,0,0,12,0.3934
10,7,5,1,41,0,0,0.1429,2.513,3.993,0.03853,0.1867,0.4396,65,65,1.27E-11,11.01,2.272,1.625,0.7446,0.4725,0.2173,4.821,1.754,0,0,0,0,0,0,0
13,7,2,2,41,0,0.5741,0.6296,2.612,3.163,0.01452,0.3102,0.1644,65,65,1.27E-11,11.06,6.237,0.8101,0.2401,0.04809,0.2173,2.629,0.5041,0,0,0,0,0,0,0
29,10,2,2,60,0,0.2935,0.4022,2.591,3.263,0.1366,0.2193,0.1246,65,65,1.27E-11,11.06,11.3,0.9577,0.2298,1.96E-16,0.2173,1.313,0.2845,0,0,0,0,0,0,0
21,7,4,2,62,0,0.5385,0.8558,2.745,4.092,0.4122,0.1877,0.08402,65,65,1.27E-11,11.07,11.3,0.3055,0.1097,0.01802,0.06154,2.629,0.3572,0.032,0,0,0,0,0,0
20,7,1,0,36,0,0,0,2.517,3.996,0.4183,0.4381,0.1477,65,65,1.27E-11,11.06,8.225,4.919,0.2298,1.96E-16,0.2173,2.629,0.4823,0,0,0,0,0,23,0.7582
28,8,1,1,51,0.05294,0.01765,0.07647,3.514,4.804,0.6346,0.3357,0.1325,65,65,1.73E-11,22.14,15,2.905,0.2298,2.23E-16,0,2.19,0.3157,0.003012,0,0,0,0,11,0.0994
9,5,4,2,44,0.05,0,0.4375,1.72,2.706,0.2032,0.2032,0.1858,65,65,1.46E-11,13.71,9.12,5.442,0.1393,0.1072,0.1058,2.629,0.28,0,0,0,0,0,25,0.6
30,10,4,0,48,0,0.1524,0.381,3.824,5.029,0.9916,0.8332,0.07184,65,65,1.27E-11,11.07,12.74,2.418,0.1144,1.40E-16,0.1077,1.844,0.3935,0,0,0,0,0,33,0.234
24,8,2,2,51,0,0.1385,0.2615,2.807,4.071,0.4407,0.5507,0.1356,65,65,1.27E-11,11.06,8.677,1.732,0.2298,1.96E-16,0,1.752,0.4651,0.1042,0,0,0,0,10,0.2708
28,9,2,2,53,0,0.2982,0.6228,2.472,3.423,0.5109,0.3264,0.08784,65,65,1.27E-11,11.07,13.91,1.517,0.1132,0.01015,0.1077,0.9635,0.2407,0,0,0,0,0,25,1.006
33,10,2,1,70,0.007143,0.3143,0.6071,2.806,3.392,0.4968,0.2744,0.07243,65,65,1.27E-11,11.07,14.64,1.118,0.1169,0.01683,0.1077,1.313,0.2272,0,0,0,0,0,15,0.3704
28,8,0,3,56,0,0.2308,0.5385,3.142,4.249,0.8037,0.3988,0.09897,65,65,1.27E-11,11.07,9.487,0.5001,0.1529,1.40E-16,0.1442,1.313,0.4408,0,0,0,0,0,21,0.5619
29,9,2,2,55,0,0.1071,0.1429,3.2,5.42,0.8121,0.8205,0.184,65,65,3.17E-12,5.537,9.031,6.931,0.2298,0.1862,0.1442,1.383,0.5925,0,0,0,0,0,11,0.6
34,7,0,1,70,0.01739,0,0.04348,2.676,3.774,0.2607,0.199,0.09242,65,65,1.27E-11,11.07,16.98,2.448,0.1334,0.06542,0,0.875,0.2165,0.06915,0,0,0,0,50,1.197
29,8,0,1,60,0,0,0,2.498,3.989,0.3118,0.4812,0.091,65,65,9.54E-12,8.298,9.882,0.4216,0.1529,8.41E-17,0.1442,1.752,0.4009,0,0,0,0,0,13,0.622
20,7,2,3,61,0,0,0,1.811,3.875,0.1056,0.05282,0.09144,65,65,4.28E-12,2.76,16.31,0,0.1529,5.72E-17,0.1442,1.313,0.2352,0,0,0,0,0,0,0
37,7,0,2,74,0.0102,0.05102,0.08163,2.562,4.214,0.3046,0.3535,0.3285,65,65,2.57E-11,24.85,6.961,1.401,0.3673,0.1632,0,2.629,0.5927,0.00578,0,0,0,0,63,1.092
