Number_of_Pitches,Number_of_Pitch_Classes,Number_of_Common_Pitches,Number_of_Common_Pitch_Classes,Range,Mean_Pitch,Repeated_Notes,Chromatic_Motion,Stepwise_Motion,Average_Number_of_Simultaneous_Pitch_Classes,Average_Number_of_Simultaneous_Pitches,Vertical_Minor_Seconds,Vertical_Thirds,Vertical_Tritones,Vertical_Perfect_Fourths,Vertical_Perfect_Fifths,Vertical_Sixths,Vertical_Sevenths,Vertical_Octaves,Vertical_Minor_Third_Prevalence,Vertical_Major_Third_Prevalence,Chord_Duration,Initial_Tempo,Mean_Tempo,Tempo_Variability,Duration_in_Seconds,Note_Density,Note_Density_Variability,Average_Time_Between_Attacks,Average_Variability_of_Time_Between_Attacks_for_Each_Voice,Minimum_Note_Duration,Maximum_Note_Duration,Average_Note_Duration,Amount_of_Staccato,Unpitched_Percussion_Instrument_Prevalence,Acoustic_Guitar_Prevalence,Electric_Guitar_Prevalence,Violin_Prevalence,Dynamic_Range,Average_Note_to_Note_Change_in_Dynamics
4,3,4,2,13,42,0.375,0.125,0.125,1,1,0,0,0,0,0,0,0,0,0,0,1.329,48,48,0,20,0.45,0.5509,1.092,0.3341,0.3099,1.247,1.109,0,0,0,0,0,0,0
9,4,6,2,32,53,0,0,0,2.333,2.333,0,0.459,0,0.0765,0.3552,0.1093,0,0,0.4667,0.3333,1.246,130,130,2.46E-11,7.384,4.876,1.431,0.4303,0.1823,0,1.384,0.4478,0.02778,0,0,0,0,16,0.4444
23,11,4,0,41,55,0,0,0,1.797,2.238,0,0.2037,0.0422,0.02801,0.1053,0.2316,0.0562,0.2768,0.1429,0.1786,0.6056,130,130,2.98E-11,8.308,6.62,1.247,0.3318,0.1951,0,0.4606,0.262,0.05455,0,0,0,0,19,1.673
11,5,5,3,41,52,0,0,0,2.467,2.567,0,0.4434,0,0.06466,0.2171,0.2032,0.02771,0.04384,0.4667,0.4668,1.246,130,130,2.46E-11,7.384,5.147,1.276,0.4303,0.1823,0.1144,1.384,0.4666,0,0,0,0,0,16,0.4211
16,8,2,1,31,52,0,0.2353,0.2353,1.804,2.162,0,0.2134,0.1409,0.0723,0.06863,0.2019,0.05727,0.1999,0.2524,0.1293,0.3865,130,130,1.63E-11,3.691,6.773,0,0.1896,0.1444,0.1529,0.4606,0.2783,0,0,0,0,0,0,0
17,7,4,3,38,54,0.15,0.05,0.15,1.631,1.964,0,0.2651,0.06545,0.04905,0.07241,0.1614,0.1034,0.2615,0,0.3376,0.5976,130,130,1.80E-11,6.461,4.644,1.247,0.306,0.165,0.1144,1.037,0.3617,0,0,0,0,0,19,2.533
9,4,6,2,32,47,0,0,0,2.333,2.367,0,0.4351,0,0.07251,0.3626,0.1088,0,0.0211,0.4667,0.3333,1.246,130,130,2.46E-11,7.384,5.011,1.572,0.4303,0.1823,0,1.384,0.4419,0.02703,0,0,0,0,16,1.297
20,9,4,2,41,50,0,0,0,1.68,2.16,0,0.08092,0.05399,0.01792,0.05399,0.3043,0.07191,0.3451,0,0.1201,0.5407,130,130,1.98E-11,6.691,6.576,2.725,0.3072,0.1581,0.07596,0.4606,0.2823,0.04545,0,0,0,0,19,2.591
9,5,5,3,29,49,0.06667,0.1333,0.1333,2.333,2.333,0,0.4444,0,0.07407,0.2593,0.1851,0.03704,0,0.4664,0.3331,0.8311,130,130,2.46E-11,7.384,4.334,1.741,0.4303,0.1823,0,1.845,0.5039,0.03125,0,0,0,0,16,1.5
17,8,1,1,31,46,0.09524,0.2857,0.2857,1.418,1.513,0,0.1592,0.1767,0,0.106,0.2575,0.08849,0.1236,0.06829,0.05455,0.5498,130,130,9.07E-12,5.537,4.515,3.253,0.2413,0.1624,0.1144,0.4606,0.2924,0,0,0,0,0,19,9.12
