Number_of_Pitches,Number_of_Pitch_Classes,Number_of_Common_Pitches,Number_of_Common_Pitch_Classes,Range,Mean_Pitch,Repeated_Notes,Chromatic_Motion,Stepwise_Motion,Average_Number_of_Simultaneous_Pitch_Classes,Average_Number_of_Simultaneous_Pitches,Vertical_Minor_Seconds,Vertical_Thirds,Vertical_Tritones,Vertical_Perfect_Fourths,Vertical_Perfect_Fifths,Vertical_Sixths,Vertical_Sevenths,Vertical_Octaves,Vertical_Minor_Third_Prevalence,Vertical_Major_Third_Prevalence,Chord_Duration,Initial_Tempo,Mean_Tempo,Tempo_Variability,Duration_in_Seconds,Note_Density,Note_Density_Variability,Average_Time_Between_Attacks,Average_Variability_of_Time_Between_Attacks_for_Each_Voice,Minimum_Note_Duration,Maximum_Note_Duration,Average_Note_Duration,Amount_of_Staccato,Unpitched_Percussion_Instrument_Prevalence,Acoustic_Guitar_Prevalence,Electric_Guitar_Prevalence,Violin_Prevalence,Dynamic_Range,Average_Note_to_Note_Change_in_Dynamics
7,7,3,2,10,60,0.1875,0.125,0.125,1.937,1.937,0,0.3182,0.04547,0.2727,0,0.3182,0,0,0.125,0.3124,1.33,48,48,0,20,1.65,1.131,1.171,0.4774,0.3099,2.497,1.172,0,0,0,0,0,13,0.3939
49,12,0,2,53,74,0,0,0.04211,1,1,0,0,0,0,0,0,0,0,0,0,0.1636,130,130,2.46E-11,7.384,13,0.1359,0.07644,1.26E-16,0.07596,0.07596,0.07596,1,0,0,0,0,13,0.2708
35,10,0,0,48,77,0,0.02062,0.03093,1,1,0,0,0,0,0,0,0,0,0,0,0.167,130,130,3.02E-11,8.384,11.69,2.437,0.08517,0.08591,0.07596,0.2298,0.07753,0.9898,0,0,0,0,16,0.1633
45,12,0,0,46,75,0,0,0.06316,1,1,0,0,0,0,0,0,0,0,0,0,0.1636,130,130,2.46E-11,7.384,13,0.1359,0.07644,1.26E-16,0.07596,0.07596,0.07596,1,0,0,0,0,16,0.1667
15,5,1,3,35,77,0,0.08511,0.08511,1,1,0,0,0,0,0,0,0,0,0,0,0.1636,130,130,1.63E-11,3.691,13,0,0.07644,7.01E-17,0.07596,0.07596,0.07596,1,0,0,0,0,0,0
31,12,0,0,42,83,0,0.03158,0.07368,1,1,0,0,0,0,0,0,0,0,0,0,0.1636,130,130,2.46E-11,7.384,13,0.1359,0.07644,1.26E-16,0.07596,0.07596,0.07596,1,0,0,0,0,0,0
50,12,0,1,53,73,0,0,0.09474,1,1,0,0,0,0,0,0,0,0,0,0,0.1636,130,130,2.46E-11,7.384,13,0.1359,0.07644,1.26E-16,0.07596,0.07596,0.07596,1,0,0,0,0,0,0
29,9,0,0,47,69,0,0.0119,0.0119,1,1,0,0,0,0,0,0,0,0,0,0,0.1734,130,130,2.15E-11,6.922,12.28,1.974,0.07644,1.12E-16,0.07596,0.4606,0.08049,0.9882,0,0,0,0,0,0
47,12,0,1,49,70,0,0.01053,0.06316,1,1,0,0,0,0,0,0,0,0,0,0,0.1636,130,130,2.46E-11,7.384,13,0.1359,0.07644,1.26E-16,0.07596,0.07596,0.07596,1,0,0,0,0,0,0
26,8,1,3,38,72,0,0.09859,0.09859,1,1,0,0,0,0,0,0,0,0,0,0,0.1636,130,130,9.07E-12,5.537,13,9.334,0.07644,1.12E-16,0.07596,0.07596,0.07596,1,0,0,0,0,0,0
