Number_of_Pitches,Number_of_Pitch_Classes,Number_of_Common_Pitches,Number_of_Common_Pitch_Classes,Range,Repeated_Notes,Chromatic_Motion,Stepwise_Motion,Average_Number_of_Simultaneous_Pitch_Classes,Average_Number_of_Simultaneous_Pitches,Vertical_Minor_Third_Prevalence,Vertical_Major_Third_Prevalence,Chord_Duration,Initial_Tempo,Mean_Tempo,Tempo_Variability,Duration_in_Seconds,Note_Density,Note_Density_Variability,Average_Time_Between_Attacks,Average_Variability_of_Time_Between_Attacks_for_Each_Voice,Minimum_Note_Duration,Maximum_Note_Duration,Average_Note_Duration,Amount_of_Staccato,Unpitched_Percussion_Instrument_Prevalence,Acoustic_Guitar_Prevalence,Electric_Guitar_Prevalence,Violin_Prevalence,Dynamic_Range,Average_Note_to_Note_Change_in_Dynamics
11,8,4,2,30,0.25,0.125,0.125,2.062,2.437,0.1875,0.4374,1.33,48,48,0,20,2.1,1.661,1.171,0.4774,0.3099,2.497,1.158,0,0,0,0,0,13,0.3095
52,12,2,3,68,0,0,0.03636,2.745,3.178,0.5716,0.3848,0.1554,130,130,2.47E-11,7.389,17.86,1.158,0.07486,0.007687,0,1.384,0.1774,0.7348,0,0,0,0,13,0.3939
48,12,0,0,69,0,0.01639,0.02459,2.186,2.875,0.2591,0.1998,0.1372,130,130,3.02E-11,8.384,18.25,1.319,0.08344,0.08554,0,0.4606,0.1439,0.6536,0,0,0,0,19,0.8105
53,12,1,1,77,0,0,0.05455,2.912,3.397,0.613,0.4894,0.1467,130,130,2.46E-11,7.384,18.15,1.411,0.07486,0.007687,0.07596,1.384,0.1868,0.7164,0,0,0,0,16,0.3582
27,9,0,2,57,0,0.125,0.125,2.336,2.886,0.2624,0.196,0.1161,130,130,1.63E-11,3.691,19.78,0,0.06773,0.01825,0.07596,0.4606,0.1453,0.6575,0,0,0,0,0,0
45,12,0,0,69,0.02609,0.03478,0.08696,1.991,2.469,0.1168,0.3055,0.1215,130,130,2.46E-11,7.384,17.06,0.5768,0.0726,0.01234,0.07596,1.037,0.144,0.7619,0,0,0,0,19,0.6032
53,12,1,2,72,0,0,0.08182,2.766,3.21,0.5614,0.3539,0.1428,130,130,2.46E-11,7.384,18.01,1.708,0.07486,0.007687,0,1.384,0.1778,0.7293,0,0,0,0,16,0.4812
41,12,0,0,68,0,0.009524,0.009524,2.129,2.794,0.1433,0.1553,0.1335,130,130,2.15E-11,6.922,18.64,0.1029,0.07554,0.005865,0.07596,0.4606,0.1493,0.6667,0,0,0,0,19,0.8837
51,12,1,2,65,0.009091,0.02727,0.07273,2.807,3.178,0.52,0.4156,0.1366,130,130,2.46E-11,7.384,17.34,1.877,0.07486,0.007687,0,1.845,0.1829,0.7578,0,0,0,0,16,0.5
37,9,0,2,60,0.02174,0.1413,0.1413,2.054,2.317,0.1383,0.1105,0.1128,130,130,9.07E-12,5.537,17.52,12.59,0.07045,0.01562,0.07596,0.4606,0.1317,0.7423,0,0,0,0,19,2.351
